,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
0,Hombres,4384907,26597801,16.485975660000000000000
1,Mujeres,2690296,14843275,18.124679360000000000000
2,Hombres,56407,246177,22.913188480000000000000
3,Mujeres,28430,145656,19.518591750000000000000
4,Hombres,167651,768989,21.801482210000000000000
5,Mujeres,103697,398911,25.995021450000000000000
6,Hombres,9349,148814,6.2823390270000000000000
7,Mujeres,4103,75648,5.4238049920000000000000
8,Hombres,17032,206708,8.2396423940000000000000
9,Mujeres,17935,110090,16.291216280000000000000
10,Hombres,171196,636756,26.885651650000000000000
11,Mujeres,77974,334205,23.331188940000000000000
12,Hombres,15851,156623,10.120480390000000000000
13,Mujeres,9048,99062,9.1336738610000000000000
14,Hombres,59684,1136112,5.2533553030000000000000
15,Mujeres,46623,434000,10.742626730000000000000
16,Hombres,203833,828428,24.604793660000000000000
17,Mujeres,121060,392731,30.825170410000000000000
18,Hombres,362248,2312482,15.664900310000000000000
19,Mujeres,193570,1544438,12.533361650000000000000
20,Hombres,65926,378399,17.422350480000000000000
21,Mujeres,29268,183207,15.975372120000000000000
22,Hombres,285927,1204730,23.733699670000000000000
23,Mujeres,156216,731472,21.356388210000000000000
24,Hombres,57673,702715,8.2071679130000000000000
25,Mujeres,69924,385423,18.142145120000000000000
26,Hombres,94696,616306,15.365094610000000000000
27,Mujeres,60884,351209,17.335546640000000000000
28,Hombres,343662,1730805,19.855616320000000000000
29,Mujeres,215901,1113674,19.386373390000000000000
30,Hombres,743104,3582878,20.740421530000000000000
31,Mujeres,386015,1915955,20.147393860000000000000
32,Hombres,139848,1005172,13.912842780000000000000
33,Mujeres,95769,581215,16.477379280000000000000
34,Hombres,47597,398613,11.940654220000000000000
35,Mujeres,34987,269003,13.006174650000000000000
36,Hombres,17268,260824,6.6205563910000000000000
37,Mujeres,16282,162279,10.033337650000000000000
38,Hombres,308904,1171402,26.370451820000000000000
39,Mujeres,115657,625562,18.488495150000000000000
40,Hombres,73463,865638,8.4865729090000000000000
41,Mujeres,137694,541540,25.426376630000000000000
42,Hombres,230487,1341586,17.180188220000000000000
43,Mujeres,188720,817134,23.095355230000000000000
44,Hombres,89657,389861,22.997170790000000000000
45,Mujeres,51415,242677,21.186597820000000000000
46,Hombres,18595,313136,5.9383143430000000000000
47,Mujeres,10641,180543,5.8938867750000000000000
48,Hombres,94423,602686,15.667030590000000000000
49,Mujeres,58284,328647,17.734529750000000000000
50,Hombres,77990,749476,10.405936950000000000000
51,Mujeres,53206,399694,13.311683440000000000000
52,Hombres,91143,651067,13.999020070000000000000
53,Mujeres,70042,348722,20.085340190000000000000
